X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen
489139.651413247,6658931.14410812,225376,VELOSTATION,ENKELZIJDIG,VOETPAD,Kloosterstraat (2000),164,to 164 thv kronenburgstraat,ANTWERPEN,2000,VE_0000074,IN_GEBRUIK,30
492211.351048982,6659058.08006185,225377,VELOSTATION,DUBBELZIJDIG,PLEIN,Kievitplein (2018),,,ANTWERPEN,2018,VE_0000005,IN_GEBRUIK,36
490358.402586862,6659139.84814304,225378,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Lange Gasthuisstraat (2000),3,to 3,ANTWERPEN,2000,VE_0000084,IN_GEBRUIK,24
493579.32159487,6659122.3980039,225379,VELOSTATION,DUBBELZIJDIG,PLEIN,Moorkensplein (2140),,,BORGERHOUT,2140,VE_0000107,IN_GEBRUIK,36
491149.416171338,6659472.39260592,225380,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Tabakvest (2000),42,,ANTWERPEN,2000,VE_0000037,IN_GEBRUIK,30
491609.469119357,6659263.23464148,225381,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Quinten Matsijslei (2018),12,,ANTWERPEN,2018,VE_0000095,IN_GEBRUIK,30
489397.236773879,6659385.11554409,225382,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Sint-Andriesplaats (2000),23,to 23 oh plein,ANTWERPEN,2000,VE_0000070,IN_GEBRUIK,30
488971.862939091,6659383.64596766,225383,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Sint-Michielskaai (2000),21,to 21,ANTWERPEN,2000,VE_0000071,IN_GEBRUIK,30
490147.413902093,6659550.27317918,225384,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Oudaan (2000),14,,ANTWERPEN,2000,VE_0000067,IN_GEBRUIK,36
490475.534211719,6659666.22320176,225385,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Schuttershofstraat (2000),2,,ANTWERPEN,2000,VE_0000036,IN_GEBRUIK,21
490794.400056557,6659783.52837837,225386,VELOSTATION,ENKELZIJDIG,VOETPAD,Wapper (2000),,thv Jodenstraat,ANTWERPEN,2000,VE_0000023,IN_GEBRUIK,36
489721.321526995,6659791.4833871,225387,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Drukkerijstraat (2000),18,,ANTWERPEN,2000,VE_0000066,IN_GEBRUIK,24
492102.703052079,6659889.69653796,225388,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein (2018),31-32,,ANTWERPEN,2018,VE_0000001,IN_GEBRUIK,33
490492.437788193,6659979.52928214,225389,VELOSTATION,ENKELZIJDIG,VOETPAD,Meir (2000),18,,ANTWERPEN,2000,VE_0000018,IN_GEBRUIK,36
491373.783358915,6659991.91970817,225390,VELOSTATION,DUBBELZIJDIG,VOETPAD,Leysstraat (2000), 27,,ANTWERPEN,2000,VE_0000025,IN_GEBRUIK,36
493207.235655583,6660053.47961178,225391,VELOSTATION,ENKELZIJDIG,VOETPAD,Kerkstraat (2060),58,,ANTWERPEN,2060,VE_0000109,IN_GEBRUIK,21
494106.593660962,6660059.4809912,225392,VELOSTATION,ENKELZIJDIG,VOETPAD,Vercammenstraat (2140),3,thv helmstraat,BORGERHOUT,2140,VE_0000113,IN_GEBRUIK,18
489238.00547243,6660140.39714136,225393,VELOSTATION,DUBBELZIJDIG,PLEIN,Plantinkaai (2000),,to st-jansvliet zuiderterras,ANTWERPEN,2000,VE_0000064,IN_GEBRUIK,36
491847.493894072,6660671.58382513,225394,VELOSTATION,ENKELZIJDIG,PLEIN,Osystraat (2060),,verplaatst van Italielei naar  Osystraat,ANTWERPEN,2000,VE_0000011,IN_GEBRUIK,36
489444.440363234,6660492.79400742,225395,VELOSTATION,ENKELZIJDIG,GROENZONE,Ernest Van Dijckkaai (2000),11-12,to 11-12 zuiderterras,ANTWERPEN,2000,VE_0000059,IN_GEBRUIK,36
490103.912906285,6660584.49354816,225396,VELOSTATION,ENKELZIJDIG,VOETPAD,Wolstraat (2000),2,thv korte koepoortstraat,ANTWERPEN,2000,VE_0000057,IN_GEBRUIK,18
492117.001473213,6660602.80535311,225397,VELOSTATION,ENKELZIJDIG,PLEIN,De Coninckplein (2060),26,to 26,ANTWERPEN,2060,VE_0000032,IN_GEBRUIK,27
493565.129775294,6660668.66148669,225398,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Pesthofstraat (2060),7,to 7,ANTWERPEN,2060,VE_0000114,IN_GEBRUIK,21
490314.881661078,6660692.53028925,225399,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Minderbroedersrui (2000),46,,ANTWERPEN,2000,VE_0000056,IN_GEBRUIK,30
492511.32977893,6660797.01065274,225400,VELOSTATION,ENKELZIJDIG,VOETPAD,Sint-Elisabethstraat (2060),63,thv greinstraat,ANTWERPEN,2060,VE_0000115,IN_GEBRUIK,21
489703.017693389,6661074.911513,225401,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Jordaenskaai (2000),,to saucierstraat,ANTWERPEN,2000,VE_0000058,IN_GEBRUIK,30
491239.450851636,6661148.36726215,225402,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Paardenmarkt (2000),90,thv kleine kauwenberg,ANTWERPEN,2000,VE_0000053,IN_GEBRUIK,21
493878.770286914,6661137.64299562,225403,VELOSTATION,ENKELZIJDIG,VOETPAD,Pothoekstraat (2060),122,to 122,ANTWERPEN,2060,VE_0000122,IN_GEBRUIK,21
